time(s),temperature,atmospheric pressure,humidity,dewpoint,altitude,UV,lux
0,22.18953938523773,56.431182026813566,1029.7575664779301,12.9,1136.7,-0.021,153.0
1,22.164286374585934,56.36549710664322,1029.66051733032,12.8,1138.8,0.000,152.0
2,22.18953938523773,56.3342350057509,1029.678130083585,12.8,1139.8,0.000,141.0
3,22.184488782525296,56.28555061004848,1029.6957904840815,12.8,1141.4,0.000,149.0
3,22.184488782525296,56.226303661517086,1029.6428333804763,12.8,1143.3,0.000,143.0
4,22.184488782525296,56.18860051762688,1029.6957904840815,12.8,1144.6,0.000,146.0
5,22.179438180103897,56.145302426927955,1029.739928872387,12.8,1146.0,0.000,151.0
6,22.18953938523773,56.490426060692954,1029.651651320016,12.9,1134.7,0.000,132.0
6,22.40166496196762,58.00772455430393,1029.704183041449,13.5,1085.6,0.000,150.0
7,22.532981052459217,59.23641371207572,1029.7744727423806,13.9,1046.7,0.000,140.0
8,22.583487293496727,60.10051393575987,1029.7301614484868,14.2,1019.7,0.000,143.0
8,22.639044192252914,60.72255668165034,1029.7741409748583,14.4,1000.5,0.000,149.0
9,22.6743986007059,61.17666985708092,1029.7033546328184,14.6,986.5,0.000,139.0
10,22.70975302341976,61.51772993600637,1029.765059569321,14.7,976.1,0.000,147.0
11,22.755208730720916,61.76243720771028,1029.7913913017621,14.8,968.7,0.000,141.0
11,22.7956138236681,61.953058875214175,1029.755894043137,14.9,962.9,0.000,143.0
12,22.825917655602098,62.07315572526903,1029.7027577063,15.0,959.2,0.000,150.0
13,22.861272139434003,62.16661480415569,1029.7379475006558,15.0,956.4,0.000,138.0
14,22.896626637526786,62.26008537282689,1029.720118265265,15.1,953.5,0.000,146.0
14,22.916829214268365,62.33119679102908,1029.7553720841493,15.1,951.4,0.000,141.0
15,22.947133088111876,62.36516815265524,1029.5961659731468,15.2,950.3,0.000,143.0
16,22.9067279253155,62.476040031875485,1029.790763730255,15.1,947.1,0.000,149.0
17,22.846120216045527,62.10117420172482,1029.791026487243,15.0,958.4,0.000,138.0
17,22.825917655602098,61.41078708098283,1029.755769417902,14.8,979.3,0.000,108.0
18,22.88652535090223,61.17158506310315,1029.7024915744214,14.8,986.6,0.000,47.0
19,24.66942047039629,65.76595545330474,1029.7319526853141,17.7,849.6,0.000,20.0
20,26.59882658459828,70.54534913127652,1029.7895276451695,20.7,715.2,0.000,22.0
20,27.704971232474783,73.46229152354705,1029.7110385171454,22.5,636.4,0.000,14.0
21,27.26554223546409,74.08965015968327,1029.7216688201884,22.2,619.3,0.000,24.0
22,26.704894644394518,73.92651423124208,1029.760683816043,21.6,623.5,-0.005,13.0
23,26.40184338549152,73.82700146540894,1029.7934336600376,21.3,626.0,0.000,146.0
23,26.270521498681045,73.87618451066905,1029.751523577048,21.1,624.7,-0.005,154.0
24,26.129098148294723,74.00561104948513,1029.7186254013886,21.0,621.2,0.000,145.0
25,25.9674717415357,74.18736561452396,1029.7037751140263,20.9,616.3,-0.005,156.0
25,25.86140457406291,74.41661134693734,1029.7322610351205,20.9,610.2,0.000,151.0
26,25.59876261652098,74.5143505767571,1030.047236441617,20.6,607.7,0.000,166.0
27,24.644166745245457,74.25432130462198,1030.1930341246443,19.6,614.7,0.000,49.0
28,24.189600936719216,74.2070141096729,1030.2773871393347,19.1,616.1,0.000,44.0
28,24.078485208749772,74.28953560638878,1030.3492028000142,19.0,614.0,0.000,46.0
29,24.02797810623888,74.1886260375118,1029.7830762643532,19.0,616.6,0.000,44.0
30,24.07343449718901,74.25684734941329,1029.7560923365602,19.0,614.8,0.000,144.0
31,24.058282364252953,74.34708355979592,1029.78279391776,19.0,612.4,0.000,151.0
31,24.007775273383594,74.38065434102923,1029.7478541272383,19.0,611.5,0.000,141.0
32,23.992623151798036,74.45473249877642,1029.774548865136,19.0,609.6,0.000,148.0
33,23.906761178956366,74.29718413231309,1029.7310626647266,18.9,613.8,0.000,142.0
34,23.866355573781767,74.15947636949876,1029.7402655191468,18.8,617.4,0.000,145.0
34,23.8310006845335,74.04907983080935,1029.7317184725744,18.7,620.4,0.000,151.0
35,23.80574720094446,73.87497552275975,1029.7673283310298,18.7,625.0,0.000,140.0
36,23.770392336143413,73.67319075486027,1029.7056794306584,18.6,630.4,0.000,148.0
37,23.770392336143413,73.43119822948006,1029.7056794306584,18.5,636.9,0.000,142.0
37,23.74513887001667,73.16031789982247,1029.7678253170916,18.5,644.1,0.000,145.0
38,23.72493610235397,72.85756987710404,1029.732595358406,18.4,652.3,0.000,150.0
39,23.704733339347875,72.51179400147363,1029.7504524187855,18.3,661.6,0.000,140.0
39,23.67442920356989,72.1006989194583,1029.7241487049273,18.2,672.7,0.000,148.0
40,23.664327827305534,71.70188581243671,1029.7330748398228,18.1,683.5,0.000,142.0
41,23.649175765091787,71.2542497819701,1029.7066514011483,17.9,695.7,0.000,145.0
42,23.628973019547992,70.75241093688484,1029.7510406270567,17.8,709.4,0.000,150.0
42,23.62392233388964,70.27315745250203,1029.7422323690364,17.7,722.6,0.000,140.0
43,23.613820963446052,69.77196081486196,1029.6980766148831,17.6,736.4,0.000,147.0
44,23.598668909963454,69.25421209347716,1029.698191620492,17.4,750.8,0.000,143.0
45,23.56836481085629,68.66001709079363,1029.6984186888349,17.3,767.4,0.000,144.0
45,23.533010041806847,67.936250270754,1029.7694411087195,17.1,787.8,0.000,153.0
46,23.49765528701828,67.31474526234332,1029.7343124712966,16.9,805.4,0.000,142.0
47,23.502705965400672,66.88968290057753,1029.6900523417366,16.8,817.5,0.000,147.0
48,23.49260460892692,66.41512212443125,1029.778571824215,16.7,831.1,0.000,144.0
48,23.482503253617324,66.0051513017943,1029.6548178461658,16.6,842.9,0.000,147.0
49,23.46230054649059,65.55681896153736,1029.7522483595083,16.4,855.9,0.000,154.0
50,23.452199194673447,65.21143701211994,1029.6284995980582,16.4,865.9,0.000,142.0
51,23.452199194673447,64.91513112536997,1029.7346294126505,16.3,874.5,0.000,149.0
51,23.442097844020463,64.59125775412254,1029.6639465506896,16.2,884.0,0.000,145.0
52,23.43199649453163,64.24581413933393,1029.7524552001457,16.1,894.2,0.000,147.0
53,23.442097844020463,63.91229963104043,1029.7170106105123,16.0,904.0,0.000,152.0
54,23.452199194673447,63.61107527086435,1029.681564470668,16.0,912.9,0.000,142.0
54,23.442097844020463,63.270935680000186,1029.7170106105123,15.9,923.0,0.000,150.0
55,23.43199649453163,62.930777109254585,1029.7524552001457,15.8,933.2,0.000,145.0
56,23.42694582022377,62.6286145208116,1029.7171140729984,15.7,942.2,0.000,147.0
56,23.452199194673447,62.39278186637184,1029.7611619096567,15.7,949.3,0.000,152.0
57,23.43704716913053,62.24099028350099,1029.7082012637181,15.6,953.9,0.000,142.0
58,23.447148519201438,62.004289178391566,1029.752352269956,15.6,961.0,0.000,150.0
59,23.447148519201438,61.82094892860061,1029.7258199934906,15.5,966.6,0.000,145.0
59,23.452199194673447,61.67022287728917,1029.7080969329877,15.5,971.2,0.000,147.0
60,23.47240189947188,61.552643640125666,1029.7698674510675,15.5,974.8,0.000,152.0
61,23.49260460892692,61.42426201796864,1029.6989691962597,15.5,978.6,0.000,142.0
62,23.49260460892692,61.257053427478155,1029.7255033882327,15.4,983.7,0.000,150.0
62,23.507756644074107,61.079830311075476,1029.6988610560234,15.4,989.2,0.000,145.0
63,23.51280732303858,60.9236472890484,1029.7607399374328,15.4,994.0,0.000,147.0
64,23.51280732303858,60.76180129437046,1029.7342048632747,15.3,998.9,0.000,152.0
65,23.54311140293721,60.61227046086579,1029.7605230682043,15.3,1003.5,0.000,142.0
65,23.54311140293721,60.5097524640192,1029.7074503600356,15.3,1006.7,0.000,150.0
66,23.53806072222651,60.331435266187384,1029.6986418338208,15.2,1012.2,0.000,145.0
67,23.52795936167822,60.15286243930602,1029.6810248898114,15.2,1017.7,0.000,147.0
68,23.517858002294087,59.99587339782615,1029.7430138704135,15.1,1022.6,0.000,152.0
68,23.49765528701828,59.85997567600509,1029.707778058778,15.1,1026.8,0.000,142.0
69,23.49260460892692,59.81655883264996,1029.7255033882327,15.1,1028.2,-0.005,150.0
70,23.482503253617324,59.837650231707194,1029.7078853305895,15.1,1027.5,0.000,145.0
71,23.487553931126605,59.78393492442345,1029.7166943413295,15.0,1029.2,0.000,147.0
71,23.47240189947188,59.59972493121572,1029.6902674176072,15.0,1034.9,0.000,152.0
72,23.4572498704365,59.410120804621556,1029.769971585538,14.9,1040.9,-0.005,142.0
73,23.482503253617324,59.260217469693,1029.7078853305895,14.9,1045.6,0.000,150.0
73,23.49765528701828,59.109812996242574,1029.707778058778,14.9,1050.3,0.000,145.0
74,23.49765528701828,58.96947629297654,1029.6812436636055,14.8,1054.7,-0.005,147.0
75,23.47745257639908,58.82819208419462,1029.7521434687305,14.8,1059.2,-0.005,152.0
76,23.46230054649059,58.70873916544133,1029.6726496493022,14.7,1062.9,0.000,142.0
76,23.442097844020463,58.578261950127086,1029.7170106105123,14.7,1067.1,0.000,150.0
77,23.442097844020463,58.459512013799305,1029.7170106105123,14.7,1070.8,0.000,145.0
78,23.452199194673447,58.36820848882059,1029.7346294126505,14.6,1073.8,0.000,147.0
79,23.43704716913053,58.275751870144596,1029.6816694456745,14.6,1076.7,-0.005,152.0
79,23.43199649453163,58.167561015909484,1029.7259235679567,14.6,1080.1,0.000,142.0
80,23.421895146206953,58.080735024766675,1029.708304614231,14.5,1082.9,0.000,150.0
81,23.391591108217835,57.95521995641042,1029.6819784896527,14.5,1086.9,0.000,145.0
82,23.366337751230457,57.846134917215004,1029.7440469565686,14.4,1090.4,0.000,147.0
82,23.371388422045857,57.77078752066922,1029.7528571197538,14.4,1092.8,0.000,152.0
83,23.376439093152293,57.727826028627916,1029.7351380434998,14.4,1094.2,0.000,142.0
84,23.35118574053049,57.66193424349809,1029.7706730823502,14.4,1096.3,0.000,150.0
85,23.346135070879246,57.596935857207534,1029.7088066660433,14.3,1098.4,0.000,145.0
85,23.356236410472775,57.494813074690484,1029.7529551497264,14.3,1101.7,0.000,147.0
86,23.35118574053049,57.37582859676226,1029.717616684338,14.3,1105.5,0.000,152.0
87,23.3612870807061,57.26289544505214,1029.7352368296026,14.3,1109.2,0.000,142.0
88,23.35118574053049,57.18687762920983,1029.717616684338,14.2,1111.6,0.000,150.0
88,23.346135070879246,57.11107789491194,1029.7618626229957,14.2,1114.1,0.000,145.0
89,23.356236410472775,57.09531383242267,1029.6468416102828,14.2,1114.5,0.000,147.0
90,23.3612870807061,57.13332293747697,1029.7352368296026,14.2,1113.4,0.000,152.0
90,23.3612870807061,57.07933292702059,1029.7617654610012,14.2,1115.1,0.000,142.0
91,23.35118574053049,56.98171890713702,1029.717616684338,14.2,1118.3,0.000,149.0
92,23.35118574053049,56.83594067127913,1029.7972013073627,14.1,1123.0,0.000,144.0
93,23.35118574053049,56.72255325397044,1029.7441448746756,14.1,1126.7,0.000,143.0
93,23.35118574053049,56.614561702883485,1029.7972013073627,14.1,1130.2,0.000,146.0
94,23.366337751230457,56.550395227360596,1029.7705758084987,14.1,1132.3,0.000,135.0
95,23.3612870807061,56.47458590868994,1029.7352368296026,14.1,1134.8,0.000,144.0
96,23.35118574053049,56.430968151974476,1029.7441448746756,14.0,1136.2,0.000,139.0
